service_id,start_date,end_date,active_days_per_week,exception_count,service_stability_level,last_refresh
1178,2025-04-04,2025-12-13,0,8,Unstable,"2026-04-06 10:59:30"
1179,2025-04-04,2025-12-13,0,17,Unstable,"2026-04-06 10:59:30"
118,2025-04-04,2025-12-13,0,28,Unstable,"2026-04-06 10:59:30"
1180,2025-04-04,2025-12-13,0,91,Unstable,"2026-04-06 10:59:30"
1181,2025-04-04,2025-12-13,0,3,Limited,"2026-04-06 10:59:30"
1182,2025-04-04,2025-12-13,0,16,Unstable,"2026-04-06 10:59:30"
1183,2025-04-04,2025-12-13,7,22,Unstable,"2026-04-06 10:59:30"
1184,2025-04-04,2025-12-13,7,4,Stable,"2026-04-06 10:59:30"
1185,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1186,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1187,2025-04-04,2025-12-13,2,27,Unstable,"2026-04-06 10:59:30"
1188,2025-04-04,2025-12-13,0,17,Unstable,"2026-04-06 10:59:30"
1189,2025-04-04,2025-12-13,0,77,Unstable,"2026-04-06 10:59:30"
119,2025-04-04,2025-12-13,0,25,Unstable,"2026-04-06 10:59:30"
1190,2025-04-04,2025-12-13,0,4,Limited,"2026-04-06 10:59:30"
1191,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1192,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1193,2025-04-04,2025-12-13,0,40,Unstable,"2026-04-06 10:59:30"
1194,2025-04-04,2025-12-13,0,12,Unstable,"2026-04-06 10:59:30"
1195,2025-04-04,2025-12-13,0,93,Unstable,"2026-04-06 10:59:30"
1196,2025-04-04,2025-12-13,0,17,Unstable,"2026-04-06 10:59:30"
1197,2025-04-04,2025-12-13,0,38,Unstable,"2026-04-06 10:59:30"
1198,2025-04-04,2025-12-13,0,15,Unstable,"2026-04-06 10:59:30"
1199,2025-04-04,2025-12-13,0,95,Unstable,"2026-04-06 10:59:30"
12,2025-04-04,2025-12-13,7,12,Limited,"2026-04-06 10:59:30"
120,2025-04-04,2025-12-13,0,5,Limited,"2026-04-06 10:59:30"
1200,2025-04-04,2025-12-13,0,18,Unstable,"2026-04-06 10:59:30"
1201,2025-04-04,2025-12-13,0,37,Unstable,"2026-04-06 10:59:30"
1202,2025-04-04,2025-12-13,0,5,Limited,"2026-04-06 10:59:30"
1203,2025-04-04,2025-12-13,0,32,Unstable,"2026-04-06 10:59:30"
1204,2025-04-04,2025-12-13,2,32,Unstable,"2026-04-06 10:59:30"
1205,2025-04-04,2025-12-13,0,52,Unstable,"2026-04-06 10:59:30"
1206,2025-04-04,2025-12-13,0,109,Unstable,"2026-04-06 10:59:30"
1207,2025-04-04,2025-12-13,7,121,Unstable,"2026-04-06 10:59:30"
1208,2025-04-04,2025-12-13,2,41,Unstable,"2026-04-06 10:59:30"
1209,2025-04-04,2025-12-13,3,87,Unstable,"2026-04-06 10:59:30"
121,2025-04-04,2025-12-13,0,31,Unstable,"2026-04-06 10:59:30"
1210,2025-04-04,2025-12-13,1,84,Unstable,"2026-04-06 10:59:30"
1211,2025-04-04,2025-12-13,2,37,Unstable,"2026-04-06 10:59:30"
1212,2025-04-04,2025-12-13,0,43,Unstable,"2026-04-06 10:59:30"
1213,2025-04-04,2025-12-13,0,4,Limited,"2026-04-06 10:59:30"
1214,2025-04-04,2025-12-13,0,35,Unstable,"2026-04-06 10:59:30"
1215,2025-04-04,2025-12-13,0,107,Unstable,"2026-04-06 10:59:30"
1216,2025-04-04,2025-12-13,0,40,Unstable,"2026-04-06 10:59:30"
1217,2025-04-04,2025-12-13,0,40,Unstable,"2026-04-06 10:59:30"
1218,2025-04-04,2025-12-13,0,33,Unstable,"2026-04-06 10:59:30"
1219,2025-04-04,2025-12-13,0,18,Unstable,"2026-04-06 10:59:30"
122,2025-04-04,2025-12-13,0,52,Unstable,"2026-04-06 10:59:30"
1220,2025-04-04,2025-12-13,7,109,Unstable,"2026-04-06 10:59:30"
1221,2025-04-04,2025-12-13,5,124,Unstable,"2026-04-06 10:59:30"
1222,2025-04-04,2025-12-13,0,42,Unstable,"2026-04-06 10:59:30"
1223,2025-04-04,2025-12-13,0,107,Unstable,"2026-04-06 10:59:30"
1224,2025-04-04,2025-12-13,0,13,Unstable,"2026-04-06 10:59:30"
1225,2025-04-04,2025-12-13,5,20,Unstable,"2026-04-06 10:59:30"
1226,2025-04-04,2025-12-13,2,12,Unstable,"2026-04-06 10:59:30"
1227,2025-04-04,2025-12-13,0,10,Unstable,"2026-04-06 10:59:30"
1228,2025-04-04,2025-12-13,2,12,Unstable,"2026-04-06 10:59:30"
1229,2025-04-04,2025-12-13,5,6,Stable,"2026-04-06 10:59:30"
123,2025-04-04,2025-12-13,2,9,Limited,"2026-04-06 10:59:30"
1230,2025-04-04,2025-12-13,0,23,Unstable,"2026-04-06 10:59:30"
1231,2025-04-04,2025-12-13,0,23,Unstable,"2026-04-06 10:59:30"
1232,2025-04-04,2025-12-13,0,13,Unstable,"2026-04-06 10:59:30"
1233,2025-04-04,2025-12-13,5,20,Unstable,"2026-04-06 10:59:30"
1234,2025-04-04,2025-12-13,7,6,Stable,"2026-04-06 10:59:30"
1235,2025-04-04,2025-12-13,7,5,Stable,"2026-04-06 10:59:30"
1236,2025-04-04,2025-12-13,0,5,Limited,"2026-04-06 10:59:30"
1237,2025-04-04,2025-12-13,7,15,Limited,"2026-04-06 10:59:30"
1238,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1239,2025-04-04,2025-12-13,0,3,Limited,"2026-04-06 10:59:30"
124,2025-04-04,2025-12-13,7,38,Unstable,"2026-04-06 10:59:30"
1240,2025-04-04,2025-12-13,0,7,Unstable,"2026-04-06 10:59:30"
1241,2025-04-04,2025-12-13,5,13,Limited,"2026-04-06 10:59:30"
1242,2025-04-04,2025-12-13,2,11,Unstable,"2026-04-06 10:59:30"
1243,2025-04-04,2025-12-13,5,11,Limited,"2026-04-06 10:59:30"
1244,2025-04-04,2025-12-13,0,33,Unstable,"2026-04-06 10:59:30"
1245,2025-04-04,2025-12-13,5,44,Unstable,"2026-04-06 10:59:30"
1246,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1247,2025-04-04,2025-12-13,7,7,Stable,"2026-04-06 10:59:30"
1248,2025-04-04,2025-12-13,7,9,Stable,"2026-04-06 10:59:30"
1249,2025-04-04,2025-12-13,0,111,Unstable,"2026-04-06 10:59:30"
125,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1250,2025-04-04,2025-12-13,0,105,Unstable,"2026-04-06 10:59:30"
1251,2025-04-04,2025-12-13,0,6,Limited,"2026-04-06 10:59:30"
1252,2025-04-04,2025-12-13,0,110,Unstable,"2026-04-06 10:59:30"
1253,2025-04-04,2025-12-13,0,7,Unstable,"2026-04-06 10:59:30"
1254,2025-04-04,2025-12-13,0,13,Unstable,"2026-04-06 10:59:30"
1255,2025-04-04,2025-12-13,0,89,Unstable,"2026-04-06 10:59:30"
1256,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1257,2025-04-04,2025-12-13,0,6,Limited,"2026-04-06 10:59:30"
1258,2025-04-04,2025-12-13,7,24,Unstable,"2026-04-06 10:59:30"
1259,2025-04-04,2025-12-13,5,77,Unstable,"2026-04-06 10:59:30"
126,2025-04-04,2025-12-13,0,13,Unstable,"2026-04-06 10:59:30"
1260,2025-04-04,2025-12-13,7,105,Unstable,"2026-04-06 10:59:30"
1261,2025-04-04,2025-12-13,7,9,Stable,"2026-04-06 10:59:30"
