route_id,route_type,route_short_name,trip_count,unique_shape_count,route_intensity_level
17330_700,700,165,767,12,Critical
17333_700,700,170,863,15,Critical
17334_700,700,171,714,33,Critical
17335_700,700,172,1023,23,Critical
17339_700,700,181,1034,32,Critical
17340_700,700,184,1215,28,Critical
17341_700,700,186,1066,16,Critical
17342_700,700,187,1002,34,Critical
17347_700,700,194,1143,12,Critical
17349_700,700,197,830,27,Critical
17352_900,900,21,610,13,Critical
17356_700,700,222,926,26,Critical
17362_700,700,246,996,27,Critical
17367_700,700,255,1270,20,Critical
17368_700,700,256,698,12,Critical
17369_700,700,259,538,16,Critical
17374_900,900,27,983,35,Critical
17377_700,700,277,670,15,Critical
17379_700,700,283,901,14,Critical
17381_700,700,285,776,24,Critical
17401_700,700,353,585,15,Critical
17417_900,900,60,560,16,Critical
17419_900,900,62,708,28,Critical
17420_900,900,63,864,22,Critical
17421_900,900,67,519,15,Critical
17422_900,900,68,881,31,Critical
17435_700,700,M1,1620,13,Critical
17438_900,900,M1,1998,23,Critical
17440_900,900,M10,2111,16,Critical
17441_700,700,M11,1285,26,Critical
17442_900,900,M13,1676,20,Critical
17444_900,900,M17,1448,14,Critical
17445_700,700,M19,1341,12,Critical
17446_900,900,M2,1469,17,Critical
17448_700,700,M27,1530,18,Critical
17449_700,700,M29,2425,19,Critical
17450_700,700,M32,2007,12,Critical
17451_700,700,M37,1189,12,Critical
17452_900,900,M4,2288,27,Critical
17453_700,700,M41,2932,25,Critical
17454_700,700,M44,1675,14,Critical
17455_700,700,M45,1672,14,Critical
17456_700,700,M46,1314,16,Critical
17457_700,700,M48,1184,16,Critical
17458_700,700,M49,1219,15,Critical
17459_900,900,M5,1526,32,Critical
17460_900,900,M6,1483,14,Critical
17463_900,900,M8,1833,22,Critical
17465_700,700,M85,1138,19,Critical
17467_700,700,N2,70,13,Critical
17469_700,700,N5,48,13,High
17471_700,700,N7,151,27,Critical
17472_700,700,N8,67,18,Critical
17489_700,700,N50,141,22,Critical
17494_700,700,N60,78,16,Critical
17497_700,700,N65,74,12,Critical
17513_400,400,U12,766,21,Critical
17514_400,400,U2,2846,55,Critical
17515_400,400,U3,1706,23,Critical
17518_400,400,U5,831,25,Critical
17521_400,400,U6,1239,22,Critical
17523_400,400,U7,984,27,Critical
17529_700,700,X10,832,27,Critical
17530_700,700,X11,700,18,Critical
17533_700,700,X34,943,13,Critical
17535_700,700,X54,866,19,Critical
17536_700,700,X69,463,16,Critical
17538_700,700,X83,1433,29,Critical
17554_700,700,549,66,22,Critical
17810_700,700,902,62,24,Critical
17811_700,700,903,27,14,Critical
17812_3,3,904,18,5,High
17812_700,700,904,32,22,Critical
17815_3,3,913,16,5,Critical
17816_3,3,915,28,6,Critical
17816_700,700,915,24,14,Critical
17817_3,3,917,24,4,Critical
17818_3,3,919,18,4,High
17819_3,3,920,24,6,Critical
17819_700,700,920,35,19,Critical
17820_3,3,923,25,4,Critical
17821_3,3,924,19,4,Critical
17822_3,3,925,23,5,Critical
17823_3,3,931,27,7,Critical
17823_700,700,931,13,12,High
17826_3,3,934,18,6,High
17826_700,700,934,17,12,Critical
17828_3,3,936,22,4,High
17836_3,3,944,4,4,Medium
17837_700,700,945,53,14,Critical
17839_3,3,947,19,4,Critical
17839_700,700,947,34,14,Critical
17840_3,3,948,13,4,High
17841_3,3,949,24,7,High
17842_3,3,950,12,4,High
17846_3,3,954,74,12,Critical
17848_3,3,957,15,6,High
17848_700,700,957,35,24,Critical
17849_3,3,958,35,9,Critical
17849_700,700,958,44,16,High
17850_3,3,960,39,7,Critical
17850_700,700,960,21,13,High
17853_3,3,973,4,4,High
17854_700,700,974,17,13,Low
17856_3,3,976,28,6,Critical
17856_700,700,976,19,12,Critical
17857_700,700,977,22,15,Critical
18325_700,700,550,59,14,Critical
18326_700,700,554,96,21,Critical
18339_700,700,926,17,14,Low
18341_700,700,928,74,13,High
18343_700,700,931,37,26,Low
18347_700,700,936,29,22,High
18348_700,700,937,19,16,High
18361_700,700,951,162,22,Critical
18362_700,700,955,53,15,Critical
18363_700,700,956,52,42,High
18364_700,700,957,43,36,High
18365_700,700,958,80,14,Critical
18366_700,700,959,20,12,High
18367_700,700,966,20,12,High
18368_700,700,967,26,19,High
18369_700,700,968,69,46,Critical
18370_700,700,969,80,40,Critical
18374_700,700,169,913,17,Critical
18469_700,700,591,25,15,High
18471_700,700,546,23,22,High
18610_700,700,527,54,22,Critical
1871_700,700,981,260,16,Critical
18887_3,3,555,48,10,Critical
18888_700,700,558,87,14,Critical
18889_700,700,560,50,18,Critical
18891_700,700,562,45,14,Critical
18895_700,700,569,121,26,Critical
